date,location,lat,lng,url
2023-03-04,"Loveland, CO",40.3978,-105.075,https://www.nocounleashed.com/mar2023-trial-premium
2023-03-05,"Martensdale, IA",41.373,-93.7358,https://kbpdogtraining.com/march-2023-elite-nw3/
2023-03-04,"Cedar Park, TX",30.5052,-97.8203,http://nebula.wsimg.com/aa02581b0f877a97f8f6ba15bcb80770?AccessKeyId=CFA5E4BE494C3B5AA219&disposition=0&alloworigin=1
2023-03-05,"Oakville, WA",46.8404,-123.2324,https://www.aboutfacek9academy.com/oakville-wa-premium/?logout=1
2023-03-11,"Wakefield, VA",36.9682,-76.9897,https://pawsplustraining.com/official-nacsw-nw3-trial-march-2023/
2023-03-11,"Roanoke, VA",37.271,-79.9414,https://static1.squarespace.com/static/58a48d2986e6c0895895fa99/t/63a459423d7f9162b773f18b/1671715139318/Trial+Premium+Northcross+School+March+2023.pdf
2023-03-11,"Bloomington, MN",44.8408,-93.2983,https://www.spdtc.com/images/Olson_Middle_Mar_2023_Trial_Premium.pdf
2023-03-17,"Asheboro, NC",35.7079,-79.8136,https://www.doggonefunnc.com/
2023-03-17,"Grand Junction, CO",39.0639,-108.5506,https://mountaindogs.org/
2023-03-18,"Starke, FL",29.9441,-82.1098,https://riverpoodlestraining.com/keystone-lake-mar-17-19
2023-03-18,"Moline, IL",41.5067,-90.5151,http://www.furbetterfurworse.com/
2023-03-20,"Riverside, CA",33.9806,-117.3755,https://www.k9slovetosearch.com/mfam-prem-2023.html
2023-03-25,"LeRoy, IL",40.352,-88.7642,https://kudosforcanines.com/events/
2023-03-26,"Colesville, MD",39.0757,-77.0019,https://nosework.redhuskies.com/wp-content/uploads/2023/01/Colesville-March-2023.pdf
2023-03-27,"Colesville, MD",39.0757,-77.0019,https://nosework.redhuskies.com/wp-content/uploads/2023/01/Colesville-March-2023.pdf
2023-03-28,"Amity, OR",45.1156,-123.2062,http://www.cyberdogonline.com/index.php?option=com_content&view=article&id=112&Itemid=179
2023-03-30,"Concord, CA",37.978,-122.0311,https://www.bayteam.org/home/bay-team-event-info/nacsw-nw3-mar-30-31-2023-concord-ca
2023-03-31,"West Friendship, MD",39.3049,-76.9531,https://nosework.redhuskies.com/index.php/events/west_friendship_april2023/
